Year,Period,Label,S&P500 Return,Percent Change in GDP,CPI,Construction Unemployment Rate,Manufacturing Unemployment Rate,Finance Unemployment Rate
2013,Q02,2013 Qtr2,0.0236,0.6,232.045,11.2,6.5,4.6
2013,Q03,2013 Qtr3,0.0446,3.2,233.3,8.9,6.6,3.7
2013,Q04,2013 Qtr4,0.0986,2.9,234.16266666666667,9.7,6,4.4
2014,Q01,2014 Qtr1,0.0143,-1.4,235.621,12.1,5.5,4.2
2014,Q02,2014 Qtr2,0.046,5.2,236.87233333333333,8.7,4.9,5
2014,Q03,2014 Qtr3,0.0051,4.7,237.47833333333332,7.4,4.9,4.3
2014,Q04,2014 Qtr4,0.0444,1.8,236.88833333333332,7.4,4.2,3.2
2015,Q01,2015 Qtr1,0.0044,3.3,235.355,10,5.1,2.6
2015,Q02,2015 Qtr2,-0.0022,2.3,236.96,6.8,4.1,2.6
2015,Q03,2015 Qtr3,-0.0711,1.3,237.855,5.7,4.1,2.2
2015,Q04,2015 Qtr4,0.0647,0.6,237.837,6.7,4,2.4
2016,Q01,2016 Qtr1,0.0106,2.4,237.68933333333334,8.7,4.4,3.1
2016,Q02,2016 Qtr2,0.0205,1.2,239.59033333333332,5.3,4.3,2.5
2016,Q03,2016 Qtr3,0.0328,2.4,240.60733333333334,4.9,4.2,1.9
2016,Q04,2016 Qtr4,0.0344,2,242.13466666666667,6.3,4.1,1.9
2017,Q01,2017 Qtr1,0.0494,1.7,243.83866666666665,8.9,4,2.9
2017,Q02,2017 Qtr2,0.0259,2,244.12,5.4,3.5,2.3
2017,Q03,2017 Qtr3,0.0362,3.4,245.287,4.7,3.9,2.7
2017,Q04,2017 Qtr4,0.0605,4.1,247.23833333333334,5.1,3,1.9
2018,Q01,2018 Qtr1,-0.016,2.8,249.32166666666666,7.5,3.4,1.8
2018,Q02,2018 Qtr2,0.0322,2.8,250.679,5.2,3.3,1.8
2018,Q03,2018 Qtr3,0.0773,2.9,251.68633333333332,3.6,3.5,2.4
2018,Q04,2018 Qtr4,-0.1433,0.7,252.711,4.2,2.9,2.2
2019,Q01,2019 Qtr1,0.1443,2.2,253.414,5.9,3.1,2.4
2019,Q02,2019 Qtr2,0.0327,2.7,255.22,4,2.7,2.1
2019,Q03,2019 Qtr3,0.0018,3.6,256.085,3.5,3.2,1.7
2019,Q04,2019 Qtr4,0.0828,1.8,257.8876666666667,4.4,2.9,1.7
2020,Q01,2020 Qtr1,-0.2034,-4.6,258.803,5.9,3.8,1.9
2020,Q02,2020 Qtr2,0.2411,-29.9,256.31533333333334,13.1,11.3,3.4
2020,Q03,2020 Qtr3,0.0828,35.3,259.2393333333333,7.9,7.2,2.9
2020,Q04,2020 Qtr4,0.1093,3.9,261.04466666666667,7.9,4.7,2.8
2021,Q01,2021 Qtr1,0.0553,6.3,263.734,9.2,4.9,3.2
2021,Q02,2021 Qtr2,0.0763,7,268.55766666666665,7.3,5.3,2.2
2021,Q03,2021 Qtr3,0.0016,2.7,272.88733333333334,5.1,3.9,2.8
2021,Q04,2021 Qtr4,0.104,7,278.70666666666665,4.6,3.1,2.2
2022,Q01,2022 Qtr1,-0.0518,-1.6,284.89366666666666,6.6,3.3,2.1
2022,Q02,2022 Qtr2,-0.1663,-0.6,291.53566666666666,4,3,1.5
2022,Q03,2022 Qtr3,-0.0517,3.2,295.4956666666667,3.6,3.1,1.2
2022,Q04,2022 Qtr4,0.0636,2.6,298.525,4.1,2.5,1.7
